,전공,모집인원,최소,최대
0,건축공학과,55,38,71
1,고분자.나노공학과,44,30,57
2,기계공학과,66,46,85
3,기계설계공학부(기계설계공학),53,37,68
4,기계설계공학부(나노바이오기계시스템공학),26,18,33
5,기계시스템공학부,76,53,98
6,도시공학과,23,16,29
7,바이오메디컬공학부,43,30,55
8,산업정보시스템공학과,39,27,50
9,소프트웨어공학과,40,28,52
10,신소재공학부(금속시스템공학),39,27,50
11,신소재공학부(전자재료공학),42,29,54
12,신소재공학부(정보소재공학),41,28,53
13,양자시스템공학과,16,11,20
14,유기소재섬유공학과,43,30,55
15,융합기술공학부(IT융합기전공학),80,56,104
16,융합기술공학부(IT응용시스템공학),29,20,37
17,전기공학과,45,31,58
18,전자공학부,171,119,222
19,컴퓨터인공지능학부,141,98,183
20,토목/환경/자원.에너지공학부(자원.에너지공학),42,29,54
21,토목/환경/자원.에너지공학부(토목공학),60,42,78
22,토목/환경/자원.에너지공학부(환경공학),41,28,53
23,항공우주공학과,39,27,50
24,화학공학부,96,67,124
